Name Product,Price,Old Price,Promotion
iPad Air 5 (2022) 64GB I Chính hãng Apple Việt Nam,16.990.000 ₫,,"Phần mềm bản quyền Office đi kèm 1 TB Onedrive chỉ từ 990,000"
iPad 10.2 2021 WiFi 64GB | Chính hãng Apple Việt Nam,9.290.000 ₫,10.990.000 ₫,"Phần mềm bản quyền Office đi kèm 1 TB Onedrive chỉ từ 990,000"
Apple iPad Pro 11 2021 M1 WiFi 128GB I Chính hãng Apple Việt Nam ,19.990.000 ₫,23.990.000 ₫,Thu cũ lên đời - Trợ giá 1 triệu và 1 km khác
Samsung Galaxy Tab S8 Ultra,28.490.000 ₫,30.990.000 ₫,Giảm ngay 3.000.000đ khi combo S22 series và Tab S8 series và 1 km khác
Apple iPad mini 6 WiFi 64GB | Chính hãng Apple Việt Nam,13.350.000 ₫,14.990.000 ₫,"Phần mềm bản quyền Office đi kèm 1 TB Onedrive chỉ từ 990,000"
iPad Air 10.9 2020 WiFi 64GB I Chính hãng Apple Việt Nam ,14.000.000 ₫,16.990.000 ₫,"Phần mềm bản quyền Office đi kèm 1 TB Onedrive chỉ từ 990,000"
Apple iPad mini 5 WiFi 64GB Chính Hãng ,8.990.000 ₫,11.000.000 ₫,"Phần mềm bản quyền Office đi kèm 1 TB Onedrive chỉ từ 990,000"
Xiaomi Pad 5,8.990.000 ₫,,Thu cũ đổi mới - Trợ giá đến 300.000đ
Xiaomi Mi Pad 5 Pro,Đăng ký nhận tin,,
Nokia T20,5.190.000 ₫,6.290.000 ₫,Tặng ốp lưng Nokia T20 có nắp đậy chỉ giá 700k
iPad 10.2 2020 WiFi 32GB I Chính hãng Apple Việt Nam ,9.500.000 ₫,9.990.000 ₫,"Phần mềm bản quyền Office đi kèm 1 TB Onedrive chỉ từ 990,000"
Lenovo Tab P11 Pro,9.390.000 ₫,14.590.000 ₫,Tặng bút cảm ứng Lenovo Precision 2
Samsung Galaxy Tab S8,20.190.000 ₫,20.990.000 ₫,Giảm ngay 1.5 triệu khi thanh toán qua MOCA
Samsung Galaxy Tab S7 Plus,20.000.000 ₫,23.990.000 ₫,Thu cũ đổi mới - Trợ giá đến 300.000đ
Samsung Galaxy Tab A7 Lite,3.700.000 ₫,4.490.000 ₫,Thu cũ đổi mới - Trợ giá đến 300.000đ
Apple iPad Pro 12.9 2021 M1 WiFi 128GB I Chính hãng Apple Việt Nam ,24.790.000 ₫,30.990.000 ₫,Thu cũ lên đời - Trợ giá 1 triệu và 1 km khác
Samsung Galaxy Tab S7 FE (4G),13.050.000 ₫,13.990.000 ₫,Thu cũ đổi mới - Trợ giá đến 300.000đ
Samsung Galaxy Tab S7,18.000.000 ₫,18.990.000 ₫,Tặng bao da Samsung chính hãng và 1 km khác
iPad Air 10.9 2020 4G 64GB I Chính hãng Apple Việt Nam ,16.200.000 ₫,20.990.000 ₫,"Phần mềm bản quyền Office đi kèm 1 TB Onedrive chỉ từ 990,000"
Apple iPad Pro 11 2021 M1 WiFi 256GB I Chính hãng Apple Việt Nam ,24.000.000 ₫,25.990.000 ₫,Thu cũ lên đời - Trợ giá 1 triệu và 1 km khác
Apple iPad Pro 11 2021 M1 WiFi 256GB I Chính hãng Apple Việt Nam ,24.000.000 ₫,25.990.000 ₫,Thu cũ lên đời - Trợ giá 1 triệu và 1 km khác
Máy tính bảng Lenovo Tab P11 Plus 4GB 64GB ZA9L0164VN,6.890.000 ₫,8.190.000 ₫,Tặng thêm 1 năm bảo hành tablet Lenovo
iPad Air 5 (2022) 256GB I Chính hãng Apple Việt Nam,20.990.000 ₫,,"Phần mềm bản quyền Office đi kèm 1 TB Onedrive chỉ từ 990,000"
Samsung Galaxy Tab S8 Plus,25.490.000 ₫,25.990.000 ₫,Giảm ngay 1.5 triệu khi thanh toán qua MOCA
Samsung Galaxy Tab S7 FE (WiFi),11.190.000 ₫,12.990.000 ₫,Thu cũ đổi mới - Trợ giá đến 300.000đ
Samsung Galaxy Tab S6 Lite,9.600.000 ₫,9.990.000 ₫,Tặng bao da chính hãng Samsung màu xanh và 1 km khác
Apple iPad mini 6 WiFi 256GB | Chính hãng Apple Việt Nam,17.400.000 ₫,19.990.000 ₫,"Phần mềm bản quyền Office đi kèm 1 TB Onedrive chỉ từ 990,000"
Máy tính bảng Lenovo Tab M10 Gen 2,3.890.000 ₫,5.190.000 ₫,Tặng thêm 1 năm bảo hành tablet Lenovo
iPad 10.2 2021 4G 64GB | Chính hãng Apple Việt Nam,11.490.000 ₫,14.990.000 ₫,"Phần mềm bản quyền Office đi kèm 1 TB Onedrive chỉ từ 990,000"
Máy tính bảng Alcatel 3T8,2.290.000 ₫,3.490.000 ₫,
iPad 10.2 2021 WiFi 256GB | Chính hãng Apple Việt Nam,13.000.000 ₫,14.990.000 ₫,"Phần mềm bản quyền Office đi kèm 1 TB Onedrive chỉ từ 990,000"
Samsung Galaxy Tab S6,15.000.000 ₫,18.490.000 ₫,Tặng bao da kiêm bàn phím keyboard tab S6 (SL có hạn)
iPad Air 10.9 2020 WiFi 256GB I Chính hãng Apple Việt Nam ,18.000.000 ₫,20.990.000 ₫,"Phần mềm bản quyền Office đi kèm 1 TB Onedrive chỉ từ 990,000"
